,536,CFT073,F11,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
30547_lagD,,,,,,,,,PROKKA_00669,,,,,PROKKA_06077,,,,,,
78592_rpoN,ECP_RS16770,c3962,AS527_RS13755,PROKKA_03057,PROKKA_01620,PROKKA_02179,PROKKA_02971,PROKKA_03299,PROKKA_03226,PROKKA_02938,PROKKA_00210,PROKKA_01314,PROKKA_02183,PROKKA_04867,PROKKA_02065,PROKKA_02679,PROKKA_01301,b3202,ECUMN_3682,UTI89_C3638
45065_Fimbrial-_major_and_..,,,,,,,,,,,,PROKKA_04863,,,,,,,,
74204_Integrase_core_domai..,,,,,,,,,,,,,,,,,PROKKA_03837,,,
10331_hypothetical_protein,,,,PROKKA_05245,,PROKKA_05305,,PROKKA_04876,,,,,,,,,,,,UTI89_P127
56336_hypothetical_protein,,,,,,,,,,,,,,PROKKA_01656,,,,,,
79574_ytfT,ECP_RS22810,c5327,AS527_RS21645,PROKKA_04263,PROKKA_02704,PROKKA_03432,PROKKA_04169,PROKKA_04420,PROKKA_02033,PROKKA_01782,PROKKA_01506,PROKKA_00149,PROKKA_03353,PROKKA_03675,PROKKA_03226,PROKKA_04010,PROKKA_00052,b4230,ECUMN_4763,UTI89_C4834
2455_Hypothetical_protein,ECP_RS10400,c2525,AS527_RS26655,PROKKA_01704,,PROKKA_00786,,,PROKKA_04545,,PROKKA_04018,PROKKA_02608,PROKKA_00824,PROKKA_02281,,,PROKKA_02690,,,UTI89_C2272
16307_hypothetical_protein,,,,,,PROKKA_01574,,,,,,PROKKA_01828,,,,,,,,
34925_bfpA_2,,,,,,,,,,PROKKA_04938,,,,,,,,,,
22581_yadA_1,,,,,,,PROKKA_02663,,,,,,,,,,,,,
76691_galU,ECP_RS06520,c1700,AS527_RS06655,PROKKA_00801,PROKKA_04189,PROKKA_05110,PROKKA_00619,PROKKA_01247,PROKKA_00253,PROKKA_00313,PROKKA_03062,PROKKA_03410,PROKKA_05059,,PROKKA_04980,PROKKA_00655,PROKKA_03515,b1236,ECUMN_1533,UTI89_C1432
332_Putative_Transposase..,,c0349,,,,,,,PROKKA_01540,,,,PROKKA_03973,,PROKKA_03716,,,,,
77975_hcaF,,,,PROKKA_02298,PROKKA_00923,,PROKKA_02135,PROKKA_02574,,,,,,PROKKA_02937,,,,b2539,ECUMN_2859,
78423_ygiZ,,,AS527_RS11060,,,PROKKA_01995,,PROKKA_03220,PROKKA_03416,,PROKKA_00013 PROKKA_04777,,PROKKA_01998,,PROKKA_01869,PROKKA_02491,PROKKA_01503,b3027,ECUMN_3512,UTI89_C3452
18166_mtnA,,,AS527_RS26350,,,PROKKA_03542,,,,,PROKKA_01595,,,,,,,,ECUMN_4890,
9136_aceK_1,,,,PROKKA_03991,,,,,,,,,,,,,,,,
78956_sgbH,ECP_RS18785,c4404,AS527_RS00500,PROKKA_03472,PROKKA_01999,PROKKA_02583,PROKKA_03383,PROKKA_03678,PROKKA_02803,PROKKA_02518,PROKKA_00624,PROKKA_00906,PROKKA_02599,PROKKA_04427,PROKKA_02486,PROKKA_03082,PROKKA_00884,b3581,ECUMN_4094,UTI89_C4125
19874_MerT_mercuric_transp..,,,AS527_RS17370,,,PROKKA_05343,,,,,,,,PROKKA_03801,,,,,,
22914_dmlR_5,,,,,,,PROKKA_03010,,,PROKKA_02902,,,,,,,,,,
1711_Acriflavine_resistan..,,c1764,,,,PROKKA_00056,,,PROKKA_00192,PROKKA_00177,PROKKA_03211,PROKKA_03351,PROKKA_00035,,PROKKA_05040,PROKKA_00716,PROKKA_03450,,,UTI89_C1564
76336_macB,ECP_RS04505,,AS527_RS06365,PROKKA_00389,PROKKA_03844,PROKKA_04565,,PROKKA_00782,PROKKA_00874,PROKKA_00649,PROKKA_02630,PROKKA_03803,PROKKA_04562,PROKKA_00793,PROKKA_04375,PROKKA_00159,PROKKA_04037,b0879,ECUMN_1074,UTI89_C0884
21_Putative_conserved_p..,ECP_RS00090,c0021,AS527_RS25370,,,PROKKA_03681,,,PROKKA_01837,PROKKA_01541,PROKKA_01734,PROKKA_04714,PROKKA_03682,PROKKA_03416,PROKKA_03429,PROKKA_04191,PROKKA_04882,,,UTI89_C0019
76539_rluC,ECP_RS05480,c1355,AS527_RS02760,PROKKA_00580,PROKKA_04053,PROKKA_04870,,PROKKA_01052,PROKKA_00546,PROKKA_00457,PROKKA_02821,PROKKA_03611,PROKKA_04752,PROKKA_01066,PROKKA_04740,PROKKA_00446,PROKKA_03736,b1086,ECUMN_1261,UTI89_C1211
57975_hypothetical_protein,,,AS527_RS20605,,,,,,,,,,,PROKKA_03043,,PROKKA_04518,,,,
25190_hypothetical_protein,,,,,,,,PROKKA_00047,,,,,,PROKKA_06369 PROKKA_03172,,,,,,
79204_tatC,ECP_RS20610,c4787,AS527_RS08540,PROKKA_03754,PROKKA_02274,PROKKA_02965,PROKKA_03702,PROKKA_03979,PROKKA_02499,PROKKA_02239,PROKKA_00922,PROKKA_00616,PROKKA_02897,PROKKA_05826,PROKKA_02769,PROKKA_03412,PROKKA_00587,b3839,ECUMN_4364,UTI89_C4425
74949_proA_2,,,,,,,,,,,,,,,,,PROKKA_04620,,,
20337_hypothetical_protein,,,,,,,PROKKA_00315,,PROKKA_00780,,,,,,PROKKA_04478,,,,,
64457_ddlA_1,,,,,,,,,,,,,,,PROKKA_03899,,,,,
96726_putative_transposase,,,,,,,,,,,,,,,,,,,,UTI89_C2247
94086_hypothetical_protein,,,AS527_RS28765,,,,,,,,,,,,,,,,,
75748_yagB,,,,,,,,,,,,,,,,,,b0266,,
79503_epmA,ECP_RS22425,c5243,AS527_RS21260,PROKKA_04189,PROKKA_02623,PROKKA_03351,PROKKA_04087,PROKKA_04342,PROKKA_02115,PROKKA_01862,PROKKA_01428,PROKKA_00229,PROKKA_03431,PROKKA_03763,PROKKA_03144,PROKKA_03931,PROKKA_00130,b4155,ECUMN_4691,UTI89_C4755
60231_nlpD_1,,,,,,,,,,,,,,PROKKA_05403,,,PROKKA_01799,,,
58845_yjcC_2,,,,,,,,,,,,,,PROKKA_03951,,,,,,
11758_esterase_YqiA,,,,,PROKKA_01440,,,,,PROKKA_03107,,,,,PROKKA_01893,PROKKA_02506,PROKKA_01480,,,
78495_yqjD,ECP_RS16285,c3856,AS527_RS14230,PROKKA_02952,PROKKA_01513,PROKKA_02078,PROKKA_02856,PROKKA_03135,PROKKA_03329,PROKKA_03039,PROKKA_00106,PROKKA_01414,PROKKA_02085,PROKKA_04981,PROKKA_01965,PROKKA_02577,PROKKA_01405,b3098,ECUMN_3582,UTI89_C3536
10096_allS_5,,,,PROKKA_04999,,,,,,,,,,,,,,,,
38718_ada_1,,,,,,,,,,PROKKA_03972,,,,,,,,,,
75611_yacH,ECP_RS00635,c0146,AS527_RS24815,PROKKA_04551,PROKKA_03047,PROKKA_03797,PROKKA_04483,PROKKA_04676,PROKKA_01724,PROKKA_01433,PROKKA_01841,PROKKA_04601,PROKKA_03791,PROKKA_03294,PROKKA_03539,PROKKA_04301,PROKKA_04774,b0117,ECUMN_0114,UTI89_C0130
2433_Hypothetical_protein,ECP_RS10300,c2501,,,,,,PROKKA_02025 PROKKA_04497,,,,,,,,,,,,UTI89_C2251
19083_iaaA_2,,,,,,PROKKA_04512,,,,,,,,,,,,,,
34961_gspD_1,,,,,,,,,,PROKKA_00002 PROKKA_00012 PROKKA_01638 PROKKA_04818,,,,,,,,,,
78882_yhiD,ECP_RS18380,c4319,AS527_RS07945,PROKKA_03381,PROKKA_01908,PROKKA_02497,PROKKA_03292,PROKKA_03596,PROKKA_02894,PROKKA_02616,PROKKA_00533,PROKKA_00993,PROKKA_02512,PROKKA_04530,PROKKA_02401,PROKKA_03000,PROKKA_00971,b3508,ECUMN_4008,UTI89_C4039
77137_pykF,ECP_RS08275,c2071,AS527_RS15785,PROKKA_01324,PROKKA_04630,PROKKA_00339,PROKKA_01181,PROKKA_01656,PROKKA_04991,PROKKA_04617,PROKKA_03512,PROKKA_03004,PROKKA_00334,,PROKKA_00325,PROKKA_01045,PROKKA_03126,b1676,ECUMN_1965,UTI89_C1868
76551_tmk,ECP_RS05540,c1370,AS527_RS02820,PROKKA_00595,PROKKA_04066,,PROKKA_00447,PROKKA_01065,,PROKKA_00444,PROKKA_02834,PROKKA_03598,,PROKKA_01079,PROKKA_04753,PROKKA_00459,PROKKA_03723,b1098,ECUMN_1275,UTI89_C1225
37_Hypothetical_protein,,c0039,,,,,,,,,,,,,,,,,,
76693_tdk,ECP_RS06530,c1703,AS527_RS06645,PROKKA_00805,PROKKA_04191,PROKKA_05112,PROKKA_00621,PROKKA_01249,PROKKA_00251,PROKKA_00311,PROKKA_03064,PROKKA_03408,PROKKA_05061,PROKKA_01257,PROKKA_04982,PROKKA_00657,PROKKA_03513,b1238,ECUMN_1537,UTI89_C1436
79684_hsdR,,,AS527_RS26035,PROKKA_04357,PROKKA_02841,,,,,,,,,,,,,b4350,ECUMN_4959,UTI89_C5053
77590_preA,ECP_RS11130,c2680,AS527_RS19535,PROKKA_01916,PROKKA_00505,PROKKA_00948,PROKKA_01732,PROKKA_02194,PROKKA_04383,PROKKA_04042,PROKKA_04179,PROKKA_02451,PROKKA_00982,PROKKA_02477,PROKKA_00962,PROKKA_01610,PROKKA_02526,b2147,ECUMN_2480,UTI89_C2420
92358_phage_tail_tape_meas..,,,AS527_RS22005,,,,,,,,,,,,,,,,,
43915_hypothetical_protein,,,,,,,,,,,PROKKA_04304,,,,,,,,,
9019_Phage_head_completio..,,,AS527_RS13090,PROKKA_03855,,,,PROKKA_00840,,,PROKKA_01032,,,,,PROKKA_03509,,,,
92479_hypothetical_protein,,,AS527_RS29430,,,,,,,,,,,,,,,,,
34835_hypothetical_protein,,,,,,,,,,PROKKA_04846 PROKKA_04973,,,,,,,,,,
20322_mgsA_2,,,,,,,PROKKA_00299,,,PROKKA_00563,,,,,PROKKA_04463,,,,,
78237_thyA,ECP_RS14490,c3422,AS527_RS17970,PROKKA_02601,PROKKA_01190,PROKKA_01689,PROKKA_02446,PROKKA_02865,PROKKA_03712,PROKKA_03357,PROKKA_05138,PROKKA_01717,PROKKA_01690,PROKKA_05468,PROKKA_01643,PROKKA_02268,PROKKA_01824,b2827,ECUMN_3154,UTI89_C3229
1985_Hypothetical_protein,,c2047,AS527_RS15905,,,,,,,,,,,,,,,,,UTI89_C1844
78545_yhbP,ECP_RS16520,c3907,AS527_RS14000,PROKKA_03003,PROKKA_01567,PROKKA_02126,PROKKA_02917,PROKKA_03080,PROKKA_03279,PROKKA_02991,PROKKA_00155,PROKKA_01366,PROKKA_02131,PROKKA_04921,PROKKA_02013,PROKKA_02627,PROKKA_01356,b3154,ECUMN_3634,UTI89_C3581
47118_hypothetical_protein,,,,,,,,,,,,PROKKA_02050,,,,,,,,
45150_lolC_3,,,,,,,,,,,,PROKKA_04952,,,,,,,,
56139_Caudovirales_tail_fi..,,,,,,,,,,,,,,PROKKA_01452,,,,,,
81645_Putative_HTH-type_tr..,,,,,,,,,,,,,,,,,,,ECUMN_1762,
76257_hcxB,ECP_RS04100,c0885,AS527_RS05745,PROKKA_00297,PROKKA_03763,PROKKA_04485,PROKKA_00063,PROKKA_00696,PROKKA_00952,PROKKA_00729,PROKKA_02550,PROKKA_03882,PROKKA_04483,PROKKA_00570,PROKKA_04297,PROKKA_00035,PROKKA_04116,b0801,ECUMN_0945,UTI89_C0804
44366_hypothetical_protein,,,,,,,,,,,PROKKA_05733,,,,,,,,,
47424_hypothetical_protein,,,,,,,,,,,,PROKKA_02368,,,,,,,,
77019_cspB,,c3184,,PROKKA_01199,PROKKA_04516,,,,,PROKKA_04741,,,,,PROKKA_00204,,,b1557,ECUMN_1844,
38844_xpsD,,,,,,,,,,PROKKA_04101,,,,,,,,,,
6032_Bacteriophage_lambda..,,,,PROKKA_00689,,,,,,,,,,,,,,,,
57063_ecpD_1,,,,,,,,,,,,,,PROKKA_02427,,,PROKKA_02566,,,
21519_yeeA_2,,,,,,,PROKKA_01549,,PROKKA_04535,,PROKKA_04032,,,,PROKKA_00811,,,,,
3229_Putative_conserved_p..,,c3307,,,,,,,,,,,,,,,,,,
1845_Hypothetical_protein,,c1905,,,,,,,,,,,,,,,,,,UTI89_C1690
79716_deoB,ECP_RS23945,c5467,AS527_RS25570,PROKKA_04405,PROKKA_02906,PROKKA_03642,PROKKA_04334,PROKKA_04590,PROKKA_01877,PROKKA_01582,PROKKA_01694,PROKKA_04751,PROKKA_03642,PROKKA_03457,PROKKA_03389,PROKKA_04152,PROKKA_04921,b4383,ECUMN_5007,UTI89_C5154
79238_yihR,,,,PROKKA_03804,,,PROKKA_03750,PROKKA_04029,,PROKKA_02196,PROKKA_00974,,,PROKKA_05884,,,,b3879,ECUMN_4406,
34922_hypothetical_protein,,,,,,,,,,PROKKA_04935,,,,,,,,,,
3860_Hypothetical_protein,,c3951,,,,,,,,,,,,,,,,,,UTI89_C3627
28210_kdgM,,,,,,,,PROKKA_03210,,,PROKKA_00032,,,,PROKKA_01889,,PROKKA_01485,,,
39587_cai,,,,,,,,,,,PROKKA_05465,PROKKA_04874,,,,,,,,
59948_ribB_1,,,,,,,,,,,,,,PROKKA_05114,,,,,,
15383_hypothetical_protein,,,,,,PROKKA_00596,,,,,,,,,,,,,,
78043_ffh,ECP_RS13365,c3131,AS527_RS19325,PROKKA_02374,PROKKA_00997,PROKKA_01399,PROKKA_02223,PROKKA_02649,PROKKA_03937,PROKKA_03603,PROKKA_04771 PROKKA_05367,PROKKA_01960,PROKKA_01476,PROKKA_05694,PROKKA_01412,PROKKA_02051,PROKKA_02066,b2610,ECUMN_2935,UTI89_C2943
76353_ycaC,ECP_RS04595,c1034,AS527_RS06485,PROKKA_00410,PROKKA_03864,PROKKA_04641,PROKKA_00192,PROKKA_00818,PROKKA_00853,PROKKA_00627,PROKKA_05400 PROKKA_02651,PROKKA_03781,PROKKA_04583,PROKKA_00868,PROKKA_04405,PROKKA_00209,PROKKA_04003,b0897,ECUMN_1092,UTI89_C0970
39544_traD_2,,,,,,,,,,,PROKKA_05419,,,,,,,,,
57070_hypothetical_protein,,,,,,,,,,,,,,PROKKA_02434,,,,,,
58542_ahr_1,,,,,,,,,,,,,,PROKKA_03638,,,,,,
96395_hypothetical_protein,,,,,,,,,,,,,,,,,,,,UTI89_C1908
60190_hemolysin-III_relate..,,,,,,,,,,,,,,PROKKA_05362,,,,,,
78874_gor,ECP_RS18305,c4299,AS527_RS07870,PROKKA_03361,PROKKA_01898,PROKKA_02483,PROKKA_03281,PROKKA_03586,PROKKA_02910,PROKKA_02630,PROKKA_00519,PROKKA_01007,PROKKA_02498,PROKKA_04550,PROKKA_02387,PROKKA_02986,PROKKA_00986,b3500,ECUMN_3985,UTI89_C4019
79583_treB,ECP_RS22865,c5339,AS527_RS21700,PROKKA_04273,PROKKA_02714,PROKKA_03442,PROKKA_04181,PROKKA_04430,PROKKA_02023,PROKKA_01772,PROKKA_01516,PROKKA_00139,PROKKA_03343,PROKKA_03664,PROKKA_03236,PROKKA_04020,PROKKA_00042,b4240,ECUMN_4773,UTI89_C4844
5087_Transposase_insC_for..,,c5196,,,,,,,,,,,PROKKA_03286,PROKKA_05066,,,PROKKA_01659,,,
75870_ykiD,,,,,,,,,,,,,,,,,,b4732,,
95763_hypothetical_protein,,,,,,,,,,,,,,,,,,,,UTI89_C1270 UTI89_C2691
3801_Putative_phosphotran..,,c3891,AS527_RS14080,PROKKA_02987,PROKKA_01547,PROKKA_02110,PROKKA_02895,PROKKA_03101,PROKKA_03295,PROKKA_03008,PROKKA_00138,PROKKA_01383,PROKKA_02116,PROKKA_04940,PROKKA_01997,PROKKA_02609,PROKKA_01373,,ECUMN_3618,UTI89_C3565
24402_hypothetical_protein,,,,,,,PROKKA_04596,,,,,,,PROKKA_03174,,,,,,
3482_Hypothetical_protein,,c3564,,,,,,,,,,,,,,,,,,UTI89_C4932
78284_xdhD,ECP_RS14680,c3459,AS527_RS17780,PROKKA_02675,PROKKA_01276,PROKKA_01728,PROKKA_02518,PROKKA_02933,PROKKA_03672,PROKKA_03317,PROKKA_05098,PROKKA_01678,PROKKA_01729,PROKKA_05385,PROKKA_01683,PROKKA_02308,PROKKA_01781,b2881,ECUMN_3224,UTI89_C3266
76154_potE,ECP_RS03570,c0776,AS527_RS05225,,,PROKKA_04374,PROKKA_05167,,PROKKA_01055,,PROKKA_02444,PROKKA_03984,PROKKA_04381,PROKKA_00422,,PROKKA_04899,PROKKA_04221,b0692,,UTI89_C0694
41245_cpdB_2,,,,,,,,,,,PROKKA_01493,,,,,,,,,
20014_bioF_3,,,,,,,PROKKA_05265,,,,,,,,,,,,,
77589_preT,ECP_RS11125,c2679,AS527_RS19530,PROKKA_01915,PROKKA_00504,PROKKA_00947,PROKKA_01731,PROKKA_02193,PROKKA_04384,PROKKA_04043,PROKKA_04178,PROKKA_02452,PROKKA_00981,PROKKA_02476,PROKKA_00961,PROKKA_01609,PROKKA_02527,b2146,ECUMN_2479,UTI89_C2419
4868_Hypothetical_protein,,c4973,,,,,,,,,,,,,,,,,,
78334_yggF,,,,PROKKA_02729,PROKKA_01332,PROKKA_01782,PROKKA_02579,PROKKA_02990,,,,PROKKA_01627,,PROKKA_05323,,,,b2930,ECUMN_3280,
88530_hypothetical_protein,ECP_RS19585,,,,,,,,,,,,,,,,,,,
19804_hypothetical_protein,,,,,,PROKKA_05272,,,,,,,,,,,,,,
79257_frvX,,,,,PROKKA_02342,,PROKKA_03779,PROKKA_04055,,PROKKA_02171,,PROKKA_00546,,,,,,b3898,,
1443_Hypothetical_protein,,c1491,,,,,,,,,,,PROKKA_04868,,,,,,,
91454_hypothetical_protein,,,AS527_RS28365,,,,,,,,,,,,,,,,,
26241_Tail_length_tape_mea..,,,AS527_RS16555,,,,,PROKKA_01140,,,,,PROKKA_00675,,,,,,,
79440_phnO,ECP_RS22095,c5099,AS527_RS12080,PROKKA_04075,PROKKA_02556,PROKKA_03273,PROKKA_04013,PROKKA_04274,PROKKA_02182,PROKKA_01928,PROKKA_01282,PROKKA_00303,PROKKA_03209,PROKKA_03908,PROKKA_03078,PROKKA_03756,PROKKA_00198,b4093,ECUMN_4625,UTI89_C4688
31600_leuA_1,,,,,,,,,PROKKA_01773,,,,,,,,,,,
76702_yciU,ECP_RS06580,c1712,AS527_RS06600,PROKKA_00816,PROKKA_04203,PROKKA_05123,PROKKA_00635,PROKKA_01258,PROKKA_00240,PROKKA_00300,PROKKA_03075,PROKKA_03397,PROKKA_05072,PROKKA_01268,PROKKA_04994,PROKKA_00668,PROKKA_03501,b1248,ECUMN_1545,UTI89_C1446
26846_yeaN_2,,,,,,,,PROKKA_01771,,,,,,,,,,,,
78486_sstT,ECP_RS16220,c3847,AS527_RS14275,PROKKA_02943,PROKKA_01499,PROKKA_02069,PROKKA_02843,PROKKA_03148,PROKKA_03339,PROKKA_03048,PROKKA_00092,PROKKA_01424,PROKKA_02075,PROKKA_04995,PROKKA_01952,PROKKA_02567,PROKKA_01419,b3089,ECUMN_3573,UTI89_C3527
3121_Hypothetical_protein,,c3196,,,,,,,,,,PROKKA_04431,,,,,,,,
40870_NAD_5'-nucleotidase_..,,,,,,,,,,,PROKKA_01087,,,,,,,,,
34602_hypothetical_protein,,,,,,,,,PROKKA_04940,,,,,,,,,,,
2349_Hypothetical_protein,ECP_RS09885,c2414,,,,,,,PROKKA_04660,PROKKA_04276,,PROKKA_02680,PROKKA_00659,,PROKKA_00674,PROKKA_01366,PROKKA_02800,,,
19273_Mor_transcription_ac..,,,,,,PROKKA_04708,,,,,,,,,,,,,,
53011_htrE_2,ECP_RS19255,,,,,,,,,,,,PROKKA_03483,,,PROKKA_03875,PROKKA_05167,,,UTI89_C4905
57289_nuoH_2,,,,,,,,,,,,,,PROKKA_02657,,,,,,
80870_hypothetical_protein..,,,,,,,,,,,,,,,,,,,ECUMN_0970,
55534_lamB_1,,,,,,,,,,,,,,PROKKA_00827,,,,,,
78099_proX,ECP_RS13525,c3232,AS527_RS18850,PROKKA_02442,PROKKA_01036,PROKKA_01492,PROKKA_02263,PROKKA_02714,PROKKA_03902,PROKKA_03552,PROKKA_05334,PROKKA_01929,PROKKA_01509,PROKKA_05645,PROKKA_01445,PROKKA_02084,PROKKA_02032,b2679,ECUMN_3005,UTI89_C3039
52442_hypothetical_protein,,,,,,,,,,,,,PROKKA_02868,,,PROKKA_03383,,,,
16575_L-lactate_permease,,,,,,PROKKA_01856,,,,,PROKKA_04920,,PROKKA_01854,,,,,,,
93603_recombination_protei..,,,AS527_RS20745,,,,,,,,,,,,,,,,,
85033_fimA,ECP_RS01475,,,,,,,,,,,,,,,,,,,
57511_yfgF_4,,,,,,,,,,,,,,PROKKA_02886,,,,,,
24174_creB_2,,,,,,,PROKKA_04351,,,,,,,,,,,,,
3476_Hypothetical_protein,,c3558,,,,,,,,,,,,,,,,,,
54606_mcpS,,,,,,,,,,,,,,PROKKA_06088 PROKKA_05274,,,,,,
20521_hypothetical_protein,,,,,,,PROKKA_00505,,,,,,,,,,,,,
10302_Helix-turn-helix_dom..,,,AS527_RS16990,PROKKA_05214,,,,PROKKA_04947,,,,,,,,,PROKKA_05218,,ECUMN_p10056,
91062_hypothetical_protein,,,AS527_RS10755,,,,,,,,,,,,,,,,,
5998_lexA_1,,,,PROKKA_00655,,,,,,,,,,,,,,,ECUMN_1396,
85110_hypothetical_protein,ECP_RS26105,,AS527_RS27055,,,,,,,,,,,,,,,,,UTI89_C0332
8565_arsD,,,,PROKKA_03364,,,,,,,,,,,,,,,ECUMN_3990,
3629_Hypothetical_protein,ECP_RS15620,c3715,AS527_RS11325,,PROKKA_01392,PROKKA_01943,PROKKA_02724,PROKKA_03057,PROKKA_03469,PROKKA_03172,PROKKA_04829,PROKKA_01548,PROKKA_01947,PROKKA_05184,PROKKA_01813,PROKKA_02439,PROKKA_01557,,ECUMN_3461,UTI89_C3400
76819_ydaG,,,,,,,,,,,,PROKKA_03287,,PROKKA_01400,,,,b1355,,
5985_hypothetical_protein,ECP_RS05770,,AS527_RS03040,PROKKA_00641 PROKKA_05035,,PROKKA_04927,,PROKKA_00369,PROKKA_00416,,,,PROKKA_04897,,,PROKKA_00502,PROKKA_03673,,ECUMN_0579 ECUMN_1384,UTI89_C1272
57288_nuoH_1,,,,,,,,,,,,,,PROKKA_02656,,,,,,
3326_PTS_system-_maltose_..,ECP_RS14430,c3408,AS527_RS18030,,,PROKKA_01676,,,,PROKKA_03371,PROKKA_05150,PROKKA_01729,PROKKA_01678,PROKKA_05483,PROKKA_01629,PROKKA_02255,PROKKA_01838,,,UTI89_C3215
19166_Gene_25-like_lysozym..,,,,,,PROKKA_04598,,,,,PROKKA_04459,,,,,,,,,UTI89_C0927
9577_Fimbrial_protein,,,,PROKKA_04453,,,,,,,,,,,,,,,ECUMN_0021,
75708_ivy,ECP_RS01270,c0370,AS527_RS23790,PROKKA_04684,PROKKA_03166,PROKKA_03905,PROKKA_04627,PROKKA_00073,PROKKA_01523,PROKKA_01291,PROKKA_01982,PROKKA_04462,PROKKA_03991,PROKKA_03144,PROKKA_03730,PROKKA_04437,PROKKA_04640,b0220,ECUMN_0241,UTI89_C0260
22569_Transposase_IS66_fam..,,,,,,,PROKKA_02651,,,,,,,,,,,,,
46950_hypothetical_protein,,,,,,,,,,,,PROKKA_01868,,,,,,,,
44255_Prophage_CP4-57_regu..,,,,,,,,,,,PROKKA_04655,,,PROKKA_04285,,,,,,
37902_yfhA_2,,,,,,,,,,PROKKA_03114,PROKKA_00021,,PROKKA_02007,PROKKA_05135,PROKKA_01877,PROKKA_02500,,,,
9888_NADH_oxidase,,,,PROKKA_04786,,,,,,,,,,,,,,,,
3550_Hypothetical_protein,,c3632,,,,,,,,,,,,,,,,,,
63928_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_03347,,,,,
79244_yihX,ECP_RS20835,c4832,AS527_RS22725,PROKKA_03810,PROKKA_02322,PROKKA_03012,PROKKA_03757,PROKKA_04035,PROKKA_02448,PROKKA_02190,PROKKA_00980,PROKKA_00570,PROKKA_02946,PROKKA_05890,PROKKA_02820,PROKKA_03458,PROKKA_00537,b3885,ECUMN_4412,UTI89_C4469
82816_hypothetical_protein..,,,,,,,,,,,,,,,,,,,ECUMN_2975,
21585_putative_chaperone,,,,,,,PROKKA_01619,,,,,,,,,,,,,
84783_hypothetical_protein,ECP_RS26065,,AS527_RS29630,,,,,,,,,,,,,,,,,
61377_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_00649,,,,,
6167_hypothetical_protein,,,,PROKKA_00834,,,,,,,,,,,,,,,,
28421_hypothetical_protein,,,,,,,,PROKKA_03437,,,,,,,,,,,,
45824_wecF_1,,,,,,,,,,,,PROKKA_00687,,,,,,,,
83773_hypothetical_protein,,,,,,,,,,,,,,,,,,,ECUMN_3975,
79725_slt,ECP_RS24000,c5479,AS527_RS25515,PROKKA_04419,PROKKA_02915,PROKKA_03652,PROKKA_04344,PROKKA_04599,PROKKA_01866,PROKKA_01571,PROKKA_01705,PROKKA_04742,PROKKA_03653,PROKKA_03445,PROKKA_03400,PROKKA_04163,PROKKA_04910,b4392,ECUMN_5023,UTI89_C5165
10585_hypothetical_protein,,,,,PROKKA_00201,,,,,,,,,,,,,,,
32170_yijE_2,,,,,,,,,PROKKA_02383,,,,,PROKKA_05975,,,,,,
3685_Putative_iron_compou..,ECP_RS15900,c3771,AS527_RS11030,,,PROKKA_02001,,,PROKKA_03410,PROKKA_03116,PROKKA_00019,PROKKA_01492,PROKKA_02005,PROKKA_05137,PROKKA_01875,PROKKA_02498,PROKKA_01497,,,UTI89_C3459
79180_uvrD,ECP_RS20370,c4734,AS527_RS08785,PROKKA_03728,PROKKA_02249,PROKKA_02920,PROKKA_03676,PROKKA_03954,PROKKA_02548,PROKKA_02276,PROKKA_00873,PROKKA_00663,PROKKA_02850,PROKKA_05775,PROKKA_02727,PROKKA_03365,,b3813,ECUMN_4338,UTI89_C4376
43383_hypothetical_protein,,,AS527_RS21985,,,,,,,,PROKKA_03740,,PROKKA_00680,,,,,,,
16579_cirA_3,,,,,,PROKKA_01860,,,,,,,PROKKA_01858,,,,,,,
75284_hypothetical_protein,,,,,,,,,,,,,,,,,PROKKA_04972,,,
75810_yahM,,,AS527_RS29185,,,,,,,,,,,,,,,b0327,ECUMN_0370,UTI89_C0360
79296_metJ,ECP_RS21115,c4891,AS527_RS23010,PROKKA_03906,PROKKA_02387,PROKKA_03071,PROKKA_03825,PROKKA_04099,PROKKA_02393,PROKKA_02129,PROKKA_01080,PROKKA_00504,PROKKA_03002,PROKKA_05965,PROKKA_02876,PROKKA_03557,PROKKA_00485,b3938,ECUMN_4468,UTI89_C4523
24795_hypothetical_protein,,,,,,,PROKKA_04998,,,,,,,,,,,,,
34321_cysteine-glutathione..,,,,,,,,,PROKKA_04647,,,,,,,,,,,
75514_nhaR,ECP_RS00110,c0025,AS527_RS25350,PROKKA_04449,PROKKA_02944,PROKKA_03685,PROKKA_04375,PROKKA_04629,PROKKA_01833,PROKKA_01536,PROKKA_01739,PROKKA_04710,PROKKA_03686,PROKKA_03408,PROKKA_03433,PROKKA_04195,PROKKA_04878,b0020,ECUMN_0017,UTI89_C0023
1599_fecD,ECP_RS06310,c1651,AS527_RS06870,PROKKA_00753,,,,,,,,PROKKA_03459,,PROKKA_01177,,,PROKKA_03559,,ECUMN_1491,UTI89_C1387
54746_proQ_1,,,,,,,,,,,,,,PROKKA_00006 PROKKA_02539,,,,,,
91843_hypothetical_protein,,,AS527_RS29295,,,,,,,,,,,,,,,,,
