,536,CFT073,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
2634_Hypothetical_protein,,c2705,,,,,,,,,,,,,,,,,UTI89_C2445
78051_ratA,ECP_RS13405,c3141,PROKKA_02382,PROKKA_01005,PROKKA_01407,PROKKA_02232,PROKKA_02658,PROKKA_03929,PROKKA_03595,PROKKA_05359,PROKKA_01952,PROKKA_01484,PROKKA_05686,PROKKA_01420,PROKKA_02059,PROKKA_02058,b2619,ECUMN_2943,UTI89_C2953
3557_N-acetylneuraminate_..,,c3639,,,PROKKA_01874,,,PROKKA_03542,,PROKKA_04902,,PROKKA_01872,,,,,,ECUMN_3385,
30605_kbaY_1,,,,,,,,PROKKA_00727,,,,,,,,,,,UTI89_C1100
4422_Hypothetical_protein,,c4519,,,,,,,,,,,,,,,,,
77261_dmlR,,,PROKKA_01451,PROKKA_00114,,PROKKA_01319,PROKKA_01782,,,,,,PROKKA_01978,,,,b1799,ECUMN_2089,
77976_hcaC,,,PROKKA_02299,PROKKA_00924,,PROKKA_02136,PROKKA_02575,,,,,,PROKKA_02938,,,,b2540,ECUMN_2860,
40953_cyaA_1,,,,,,,,,,PROKKA_00863,,,,,,,,,
90297_ATP-dependent_specif..,,,,,,,,,,,,,,,,,,,UTI89_C0946
59769_fliD_1,,,,,,,,,,,,,PROKKA_02119,,,,,,
92332_hypothetical_protein,,,,,,,,,,,,,,,,,,,UTI89_C3010
44167_hypothetical_protein,,,,,,,,,,PROKKA_04258,,,,,,,,,
7858_hypothetical_protein,,,PROKKA_02399,,,,,,,,,,,,,,,,
75560_thiQ,ECP_RS00355,c0082,PROKKA_04497,PROKKA_02992,PROKKA_03740,PROKKA_04428,PROKKA_04731,PROKKA_01784,PROKKA_01486,PROKKA_01784,PROKKA_04656,PROKKA_03733,PROKKA_03352,PROKKA_03483,PROKKA_04243,PROKKA_04830,b0066,ECUMN_0067,UTI89_C0074
55638_ybiP_2,,,,,,,,,,,,,PROKKA_03635,,,,,,
78990_yibQ,ECP_RS18925,c4440,PROKKA_03508,PROKKA_02034,PROKKA_02615,PROKKA_03428,PROKKA_03721,PROKKA_02772,PROKKA_02487,PROKKA_00663,PROKKA_00874,PROKKA_02629,PROKKA_04377,PROKKA_02515,PROKKA_03112,PROKKA_00856,b3614,ECUMN_4131,UTI89_C4159
76427_hyaA,ECP_RS04935,c1113,PROKKA_00478,PROKKA_03939,PROKKA_04765,PROKKA_00309,PROKKA_00936,PROKKA_00786,PROKKA_00554,PROKKA_02719,PROKKA_03715,PROKKA_04648,PROKKA_00951,PROKKA_04473,PROKKA_00277,PROKKA_03937,b0972,ECUMN_1162,UTI89_C1040
4415_Hypothetical_protein,,c4510,,,,,,,,PROKKA_01390,,,,,,,,,
10073_vnfA,,,PROKKA_04758,PROKKA_03183,PROKKA_03919,PROKKA_04646,,,PROKKA_01276,PROKKA_01997,,,PROKKA_03126,,PROKKA_04451,,,ECUMN_0257,
79703_rsmC,ECP_RS23875,c5450,PROKKA_04392,PROKKA_02876,PROKKA_03629,PROKKA_04318,PROKKA_04577,PROKKA_01890,PROKKA_01596,PROKKA_01680,PROKKA_00011 PROKKA_04765,PROKKA_03629,PROKKA_03470,PROKKA_03376,PROKKA_04138,PROKKA_05000,b4371,ECUMN_4994,UTI89_C5079
5485_lolD_3,,,PROKKA_05199,,PROKKA_05363,,PROKKA_04932,,,,,,,,,PROKKA_05240,,ECUMN_p10038,UTI89_P015
21853_aroC_1,,,,,,PROKKA_01919,,,,,,,,,,,,,
77213_ynjA,ECP_RS08670,c2154,PROKKA_01406,PROKKA_00076,PROKKA_00419,PROKKA_01269,PROKKA_01741,PROKKA_04910,PROKKA_04535,PROKKA_03594,PROKKA_02924,PROKKA_00414,PROKKA_01927,PROKKA_00405,PROKKA_01128,PROKKA_03042,b1753,ECUMN_2042,UTI89_C1949
36553_hypothetical_protein,,,,,,,,,PROKKA_01678,,,,,PROKKA_03307,,,,,
56215_hypothetical_protein,,,,,,,,,,,,,PROKKA_04244,,,,,,
78741_fic,ECP_RS17605,c4136,PROKKA_03201,PROKKA_01763,PROKKA_02344,PROKKA_03125,PROKKA_03443,PROKKA_03058,PROKKA_02773,PROKKA_00378,PROKKA_01149,,PROKKA_04699,PROKKA_02233,PROKKA_02844,PROKKA_01129,b3361,ECUMN_3824,UTI89_C3864
71253_AsmA_family_protein,,,,,,,,,,,,,,,,PROKKA_00952,,,
44952_Polymer-forming_cyto..,,,,,,,,,,PROKKA_05593,,,,,,,,,
77487_rfbD,,,PROKKA_01750,,PROKKA_00835,,,,,PROKKA_04064,PROKKA_02564,PROKKA_00869,PROKKA_02331,PROKKA_00845,PROKKA_01497,,b2040,,UTI89_C2311
76344_trxB,ECP_RS04550,c1025,PROKKA_00400,PROKKA_03854,PROKKA_04575,PROKKA_00181,PROKKA_00808,PROKKA_00863,PROKKA_00637,PROKKA_02641,PROKKA_03793,PROKKA_04572,PROKKA_00856,PROKKA_04395,PROKKA_00199,PROKKA_04013,b0888,ECUMN_1083,UTI89_C0903
77936_ppk,ECP_RS12770,c3019,PROKKA_02248,PROKKA_00881,PROKKA_01283,PROKKA_02089,PROKKA_02529,PROKKA_04053,PROKKA_03719,PROKKA_04629,PROKKA_02133,PROKKA_01309,PROKKA_02883,PROKKA_01287,PROKKA_01928,PROKKA_02193,b2501,ECUMN_2815,UTI89_C2817
5637_hypothetical_protein,,,PROKKA_00049,,,,,,,,,,,,,,,,
31855_tamB_1,,,,,,,,PROKKA_02039,PROKKA_01789,,,,PROKKA_03684,,,,,,
70643_hypothetical_protein,,,,,,,,,,,,,,,,PROKKA_00284,,,
10105_hypothetical_protein,,,PROKKA_04793,,,,,,,,,,,,,,,,
28461_dacB_1,,,,,,,PROKKA_03278,,,PROKKA_00188,,,,,,,,,
4637_Conserved_hypothetic..,ECP_RS20375,c4735,,,PROKKA_02921,,,PROKKA_02547,PROKKA_02275,PROKKA_00874,PROKKA_00662,PROKKA_02851,PROKKA_05776,PROKKA_02728,PROKKA_03366,PROKKA_00634,,,UTI89_C4377
76131_lnt,ECP_RS03395,c0742,PROKKA_00152,PROKKA_03618,PROKKA_04334,PROKKA_05138,PROKKA_00545,PROKKA_01095,PROKKA_00883,PROKKA_02404,PROKKA_04023,PROKKA_04343,PROKKA_00386,PROKKA_04151,PROKKA_04861,PROKKA_04259,b0657,ECUMN_0750,UTI89_C0655
58754_rne_1,,,,,,,,,,,,,PROKKA_01061,,,,,,
10387_Phage_minor_tail_pro..,,,PROKKA_05084,,,,,,,,,,,,,,,,
79589_pyrB,ECP_RS22890,c5345,PROKKA_04279,PROKKA_02720,PROKKA_03448,PROKKA_04187,PROKKA_04436,PROKKA_02017,PROKKA_01766,PROKKA_01522,PROKKA_00132,PROKKA_03337,PROKKA_03657,PROKKA_03242,PROKKA_04027,PROKKA_00036,b4245,ECUMN_4778,UTI89_C4851
78925_yiaD,ECP_RS18630,c4370,PROKKA_03441,PROKKA_01969,PROKKA_02550,PROKKA_03349,PROKKA_03647,PROKKA_02839,PROKKA_02553,PROKKA_00590,PROKKA_00939,PROKKA_02564,PROKKA_04464,PROKKA_02452,PROKKA_03050,PROKKA_00920,b3552,ECUMN_4064,UTI89_C4092
46892_hypothetical_protein,,,,,,,,,,,PROKKA_02037,,,,,,,,
79358_metA,ECP_RS21535,c4970,PROKKA_03988,PROKKA_02470,PROKKA_03156,PROKKA_03911,PROKKA_04183,PROKKA_02302,PROKKA_02032,PROKKA_01171,PROKKA_00419,PROKKA_03092,PROKKA_04041,PROKKA_02966,PROKKA_03646,PROKKA_00394,b4013,ECUMN_4539,UTI89_C4572
77113_gloA,ECP_RS08145,c2044,PROKKA_01294,PROKKA_04602,PROKKA_00311,PROKKA_01146,PROKKA_01627,PROKKA_05020,PROKKA_04645,PROKKA_03484,PROKKA_03031,PROKKA_00307,PROKKA_01804,PROKKA_00298,PROKKA_01017,PROKKA_03155,b1651,ECUMN_1941,UTI89_C1842
32566_siaT_4,,,,,,,,PROKKA_02807,PROKKA_02522,,,PROKKA_02595,,,,PROKKA_00888,,,
75863_dgcC,ECP_RS02220,c0492,PROKKA_04874,PROKKA_03357,PROKKA_04070,PROKKA_04831,PROKKA_00211,PROKKA_01344,PROKKA_01132,PROKKA_02142,PROKKA_04272,PROKKA_04102,PROKKA_00099,PROKKA_03904,PROKKA_04618,PROKKA_04514,b0385,ECUMN_0423,UTI89_C0404
83203_conserved_hypothetic..,ECP_RS16045,,,,,,,,,,,,,,,,,ECUMN_3537,
24221_araC_2,,,,,,PROKKA_04425,,,,,,,,,,,,,
3913_Hypothetical_protein,,c4004,,,,,,,,,,,,,,,,,
57000_hypothetical_protein,,,,,,,,,,,,,PROKKA_05063,,,,,,
77991_qseG,ECP_RS13045,c3078,PROKKA_02314,PROKKA_00939,PROKKA_01340,PROKKA_02158,PROKKA_02591,PROKKA_03995,PROKKA_03661,PROKKA_04707,PROKKA_02074,PROKKA_01418,PROKKA_02956,PROKKA_01345,PROKKA_01987,PROKKA_02135,b2555,ECUMN_2875,UTI89_C2874
57155_wfgD_3,,,,,,,,,,,,,PROKKA_05225,,,,,,
76411_ycbZ,ECP_RS04840,c1091,PROKKA_00461,PROKKA_03922,PROKKA_04748,PROKKA_00288,PROKKA_00919,PROKKA_00804,PROKKA_00573,PROKKA_02702,PROKKA_03732,PROKKA_04631,PROKKA_00934,PROKKA_04454,PROKKA_00260,PROKKA_03954,b0955,ECUMN_1144,UTI89_C1020
92074_hypothetical_protein..,,,,,,,,,,,,,,,,,,,UTI89_C2748
983_Hypothetical_protein,,c1010,,,,,,,,,,,,,,,,,UTI89_C0879
58182_Permease_for_cytosin..,,,,,,,,,,,,,PROKKA_00468,,,,,,
79127_rbsD,ECP_RS20055,c4676,PROKKA_03663,PROKKA_02182,PROKKA_02853,PROKKA_03603,PROKKA_03882,PROKKA_02616,PROKKA_02349,PROKKA_00802,PROKKA_00735,PROKKA_02784,PROKKA_04104,PROKKA_02654,PROKKA_03298,PROKKA_00702,b3748,ECUMN_4278,UTI89_C4303
25282_cat,,,,,,,PROKKA_04952,,,,,,PROKKA_03822,,,,,ECUMN_4806,
16551_hypothetical_protein,,,,,PROKKA_01846,,,,,PROKKA_04927,,PROKKA_01847,,,,,,,
25283_Acetyltransferase_-G..,,,,,,,PROKKA_04953,,,,,,PROKKA_03821,,,PROKKA_05213,,,
44201_bcgIB,,,,,,,,,,PROKKA_04293,,,,,,,,,
78090_alaE,ECP_RS13470,c3221,PROKKA_02431,PROKKA_01027,PROKKA_01483,PROKKA_02254,PROKKA_02705,PROKKA_03915,PROKKA_03563,PROKKA_05345,PROKKA_01938,PROKKA_01498,PROKKA_05656,PROKKA_01434,PROKKA_02073,PROKKA_02044,b2670,ECUMN_2994,UTI89_C3027
79773_hypothetical_protein,,,,,,,,,,,,,,,,,,ECUMN_p20037,
1707_Putative_transcripti..,ECP_RS06830,c1760,,,PROKKA_00054,,,PROKKA_00194,PROKKA_00179,PROKKA_03209,PROKKA_03353,PROKKA_00033,PROKKA_01319,PROKKA_05038,PROKKA_00714,PROKKA_03452,,,UTI89_C1562
78454_cca,ECP_RS16055,c3806,PROKKA_02907,PROKKA_01466,PROKKA_02035,PROKKA_02804,PROKKA_03181,PROKKA_03372,PROKKA_03083,PROKKA_00059,PROKKA_01458,PROKKA_02042,PROKKA_05102,PROKKA_01918,PROKKA_02534,PROKKA_01455,b3056,ECUMN_3539,UTI89_C3492
30550_cvaA_2,,,,,,,,PROKKA_00672,,,,,,,,,,,
25107_Type_IV_pilus_biogen..,,,,,,,PROKKA_05095,,,,,,PROKKA_06236,PROKKA_05101 PROKKA_05206,,,,,
65245_flgE_2,,,,,,,,,,,,,,PROKKA_04729,,,,,
78250_lysR,ECP_RS14560,c3436,PROKKA_02616,PROKKA_01205,PROKKA_01704,PROKKA_02461,PROKKA_02880,PROKKA_03697,PROKKA_03341,PROKKA_05122,PROKKA_01702,PROKKA_01705,PROKKA_05453,PROKKA_01658,PROKKA_02283,PROKKA_01808,b2839,ECUMN_3167,UTI89_C3243
32441_hypothetical_protein,,,,,,,,PROKKA_02680,,,,,,,,,,,
80725_hypothetical_protein..,,,,,,,,,,,,,,,,,,ECUMN_0967,
21046_nagC_2,,,,,,PROKKA_01077,,,,,,,,,,,,,
59827_hypothetical_protein,,,,,,,,,,,,,PROKKA_02181,,,,,,
78411_yqhH,ECP_RS15800,c3748,PROKKA_02858,PROKKA_01426,PROKKA_01977,PROKKA_02762,PROKKA_03230,PROKKA_03434,PROKKA_03137,PROKKA_04795,PROKKA_01513,PROKKA_01980,PROKKA_05149,PROKKA_01851,PROKKA_02474,PROKKA_01521,b3014,ECUMN_3498,UTI89_C3434
79068_dgoT,ECP_RS19765,c4612,PROKKA_03603,PROKKA_02119,PROKKA_02795,PROKKA_03535,PROKKA_03820,PROKKA_02672,PROKKA_02406,PROKKA_00746,PROKKA_00792,PROKKA_02728,PROKKA_04171,PROKKA_02597,PROKKA_03238,PROKKA_00760,b3691,ECUMN_4222,UTI89_C4242
79300_katG,ECP_RS21160,c4900,PROKKA_03912,PROKKA_02391,PROKKA_03077,PROKKA_03829,PROKKA_04103,PROKKA_02384,PROKKA_02120,PROKKA_01091,PROKKA_00498,PROKKA_03011,PROKKA_05974,PROKKA_02885,PROKKA_03566,PROKKA_00475,b3942,ECUMN_4474,UTI89_C4532
530_Hypothetical_protein,,c0552,,,,,,,,,,,,,,,,,UTI89_C0464
58220_aroG_1,,,,,,,,,,,,,PROKKA_00513,,,,,,
29634_hypothetical_protein,,,,,,,PROKKA_04533,,,,,,,,,,,,
49172_hypothetical_protein,,,,,,,,,,,PROKKA_04420,,,,,,,,
1518_Hypothetical_protein,,c1566,,,,,,,,,,,,,,,,,UTI89_C1307
44541_hypothetical_protein,,,,,,,,,,PROKKA_04643 PROKKA_05688,,,PROKKA_04273,,,,,,
79226_yshB,ECP_RS20750,,PROKKA_03786,PROKKA_02306,PROKKA_02998,PROKKA_03736,PROKKA_04015,PROKKA_02466,PROKKA_02207,PROKKA_00956,PROKKA_00584,PROKKA_02929,PROKKA_05864,PROKKA_02803,PROKKA_03444,PROKKA_00554,b4686,,
78906_bcsB,ECP_RS18510,c4344,PROKKA_03414,PROKKA_01936,PROKKA_02524,PROKKA_03320,PROKKA_03623,PROKKA_02866,PROKKA_02587,PROKKA_00562 PROKKA_05413,PROKKA_00966,PROKKA_02539,PROKKA_04498,PROKKA_02429,PROKKA_03027,PROKKA_00943,b3532,ECUMN_4040,UTI89_C4064
19183_hypothetical_protein,,,,,PROKKA_04631,,,,,PROKKA_04431,,,,,,,,,UTI89_C0962
33615_proV_3,,,,,,,,PROKKA_03906,,,,,,,,,,,
23403_gyrB_1,,,,,,PROKKA_03545,,,,,,,,,,,,,
3892_Hypothetical_protein,ECP_RS26460,c3983,,,,,,,,,,,,,,,,,UTI89_C3659
6726_hypothetical_protein,,,PROKKA_01206,,,,,,,,,,,,,,,ECUMN_1850,
9242_hypothetical_protein,,,PROKKA_03868,,,,,,,,,,,,,,,,
76499_ymdB,ECP_RS05265,c1309,PROKKA_00538,PROKKA_04013,PROKKA_04829,PROKKA_00389,PROKKA_01012,PROKKA_00588,PROKKA_00501,PROKKA_02781,PROKKA_03652,PROKKA_04711,PROKKA_01018,PROKKA_04698,PROKKA_00406,PROKKA_03778,b1045,ECUMN_1219,UTI89_C1168
77161_ydiT,ECP_RS08400,c2096,PROKKA_01352,PROKKA_00022 PROKKA_04658,PROKKA_00365,PROKKA_01212,PROKKA_01684,PROKKA_04963,PROKKA_04589,PROKKA_03540,PROKKA_02978,PROKKA_00361,PROKKA_01869,PROKKA_00352,PROKKA_01073,PROKKA_03097,b1700,ECUMN_1990,UTI89_C1893
40113_lysS_2,,,,,,,,,,PROKKA_05404,,,,,,,,,
59360_hypothetical_protein,,,,,,,,,,,,,PROKKA_01688,,,,,,
78359_yggM,ECP_RS15070,c3542,PROKKA_02757,PROKKA_01363,PROKKA_01810,PROKKA_02606,PROKKA_03016,PROKKA_03591,PROKKA_03236,PROKKA_05020,PROKKA_01602,PROKKA_01805,PROKKA_05291,PROKKA_01759,PROKKA_02385,PROKKA_01701,b2956,ECUMN_3311,UTI89_C3345
76684_narI,ECP_RS06480,c1688,PROKKA_00791,PROKKA_04181,PROKKA_05096,PROKKA_00610,PROKKA_01239,PROKKA_00269,PROKKA_00323,PROKKA_03053,PROKKA_03425,PROKKA_05045,PROKKA_01248,PROKKA_04971,PROKKA_00645,PROKKA_03524,b1227,ECUMN_1526,UTI89_C1424
68931_gutB_4,,,,,,,,,,,,,,,PROKKA_03454,,,,
58290_hypothetical_protein,,,,,,,,,,,,,PROKKA_00584,,,,,,
4671_Hypothetical_protein,ECP_RS20530,c4769,,,PROKKA_02949,,,PROKKA_02516,PROKKA_02249,PROKKA_00906,PROKKA_00632,PROKKA_02881,PROKKA_05808,PROKKA_02759,PROKKA_03396,PROKKA_00604,,,UTI89_C4409
78812_gntU,ECP_RS18000,c4224,PROKKA_03275,PROKKA_01836,PROKKA_02418,PROKKA_03202,PROKKA_03522,PROKKA_02976,PROKKA_02692,PROKKA_00460,PROKKA_01078,PROKKA_02432,PROKKA_04613,PROKKA_02316,PROKKA_02920,PROKKA_01045,b4476,ECUMN_3899,UTI89_C3944
322_Putative_integral_me..,,c0334,,,PROKKA_03477,,,PROKKA_01555,,,,PROKKA_03959,,PROKKA_03701,,PROKKA_01637,,,
77745_yfcH,ECP_RS11940,c2847,PROKKA_02077,PROKKA_00648,PROKKA_01111,PROKKA_01892,PROKKA_02345,PROKKA_04221,PROKKA_03882,PROKKA_04409,PROKKA_02291,PROKKA_01143,PROKKA_02684,PROKKA_01124,PROKKA_01770,PROKKA_02362,b2304,ECUMN_2644,UTI89_C2588
19608_transposase-IS_prote..,,,,,PROKKA_05064,,,,,,,,,,,,,,
40223_ygjV_1,,,,,,,,,,PROKKA_00093,,,,,,,,,
82005_putative_lambdoid_pr..,,,,,,,,,,,,,,,,,,ECUMN_2282,
29626_Type_III_restriction..,,,,,,,PROKKA_04525,,,,,,,,,,,,
49554_hiuH_2,,,,,,,,,,,PROKKA_04823,,,,,,,,
1548_sitD,ECP_RS06055,c1597,PROKKA_00701,,PROKKA_04981,,PROKKA_04991,PROKKA_00355,,PROKKA_02974,PROKKA_03503,PROKKA_04964,PROKKA_06198,PROKKA_04892,PROKKA_00562,PROKKA_03609,,ECUMN_1438,UTI89_C1336
7094_Helix-turn-helix_dom..,,,PROKKA_01591,,PROKKA_00664,,PROKKA_01934,,,,PROKKA_02744,,,,,,,,
17826_mntH_2,,,,,PROKKA_03203,,,,,,,,,,,,,,
43690_hypothetical_protein,,,,,,,,,,PROKKA_03751,,,,,,,,,
78378_glcE,ECP_RS15585,,,PROKKA_01385,PROKKA_01936,PROKKA_02716,PROKKA_03050,PROKKA_03476,PROKKA_03180,PROKKA_04836,PROKKA_01555,PROKKA_01940,PROKKA_05191,PROKKA_01806,PROKKA_02432,PROKKA_01564,b4468,ECUMN_3454,
78696_rplB,ECP_RS17365,c4085,PROKKA_03170,PROKKA_01732,PROKKA_02299,PROKKA_03092,PROKKA_03411,PROKKA_03103,PROKKA_02818,PROKKA_00332,PROKKA_01194,PROKKA_02304,PROKKA_04734,PROKKA_02188,PROKKA_02798,PROKKA_01176,b3317,ECUMN_3790,UTI89_C3770
74024_lolD_3,,,,,,,,,,,,,,,,PROKKA_03841,,,
86742_hypothetical_protein,ECP_RS26310,,,,,,,,,,,,,,,,,,
77934_purM,ECP_RS12760,c3017,PROKKA_02246,PROKKA_00879,PROKKA_01281,PROKKA_02087,PROKKA_02527,PROKKA_04055,PROKKA_03721,PROKKA_04627,PROKKA_02135,PROKKA_01307,PROKKA_02881,PROKKA_01285,PROKKA_01926,PROKKA_02195,b2499,ECUMN_2813,UTI89_C2815
34280_Acyl-CoA_dehydrogena..,,,,,,,,PROKKA_04603,,,,,,,,,,,
3997_Hypothetical_protein,,c4090,,,,,,,,,,,,,,,,,UTI89_C3774
78675_rpsD,ECP_RS17260,c4057,PROKKA_03148,PROKKA_01710,PROKKA_02277,PROKKA_03068,PROKKA_03389,PROKKA_03126,PROKKA_02840,PROKKA_00310,PROKKA_01216,PROKKA_02282,PROKKA_04758,PROKKA_02166,PROKKA_02776,PROKKA_01199,b3296,ECUMN_3770,UTI89_C3741
390_Putative_oxidoreduct..,ECP_RS01815,c0409,PROKKA_04786,,PROKKA_03992,,,PROKKA_01426,PROKKA_01209,PROKKA_02065,PROKKA_04344,PROKKA_04028,PROKKA_03021,PROKKA_03826,PROKKA_04543,PROKKA_04597,,ECUMN_0331,UTI89_C0315
27638_evgS_3,,,,,,,PROKKA_02401,,,,,,,,,,,,
768_Putative_conserved_p..,,c0795,,,,,,PROKKA_01038,PROKKA_00815,PROKKA_02462,PROKKA_03967,PROKKA_04398,,PROKKA_04209,PROKKA_04916,PROKKA_04204,,,UTI89_C0714
59265_hypothetical_protein,,,,,,,,,,,,,PROKKA_01590,,,,,,
23308_rfaG_1,,,,,,PROKKA_03446,,,,,,,,,,,,,
6641_Amidohydrolase,,,PROKKA_01116,,,,,,,,,,,,,,,ECUMN_1769,
3308_Hypothetical_protein,,c3390,,,,,,,,,,,,,,,,,UTI89_C3195
18141_hypothetical_protein,,,,,PROKKA_03531,,,,,,,,,,,,,,
69938_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_04519,,,,
79317_argH,ECP_RS21250,c4919,PROKKA_03929,PROKKA_02408,PROKKA_03094,PROKKA_03847,PROKKA_04120,PROKKA_02366,PROKKA_02099,PROKKA_01108,PROKKA_00481,PROKKA_03028,PROKKA_05993,PROKKA_02902,PROKKA_03583,PROKKA_00458,b3960,ECUMN_4491,UTI89_C4551
77200_nadE,ECP_RS08600,c2139,PROKKA_01393,PROKKA_00063,PROKKA_00406,PROKKA_01256,PROKKA_01728,PROKKA_04923,PROKKA_04548,PROKKA_03581,PROKKA_02937,PROKKA_00401,PROKKA_01912,PROKKA_00392,PROKKA_01115,PROKKA_03055,b1740,ECUMN_2029,UTI89_C1934
79313_ppc,ECP_RS21230,c4915,PROKKA_03925,PROKKA_02404,PROKKA_03090,PROKKA_03843,PROKKA_04116,PROKKA_02370,PROKKA_02103,PROKKA_01104,PROKKA_00485,PROKKA_03024,PROKKA_05988,PROKKA_02898,PROKKA_03579,PROKKA_00462,b3956,ECUMN_4487,UTI89_C4547
2988_Hypothetical_protein,,c3063,,,,,,,,,,,,,,,,,UTI89_C2859
4743_Hypothetical_protein,,c4846,,,,,,,,,,,,,,,,,UTI89_C4481
32331_hypothetical_protein,,,,,,,,PROKKA_02555,,,,,,,,,,,
9505_hypothetical_protein,,,PROKKA_04155,,,,,,,,,,PROKKA_03825,,,,,,
19169_hypothetical_protein,,,,,PROKKA_04615,,,,,PROKKA_04445,,,,,,,,,
9787_Fimbrial_protein,,,PROKKA_04453,,,,,,,,,,PROKKA_03403,,,,,ECUMN_0021,
78782_pck,ECP_RS17790,c4176,PROKKA_03237,PROKKA_01800,PROKKA_02382,PROKKA_03165,PROKKA_03486,PROKKA_03021,PROKKA_02737,PROKKA_00415,PROKKA_01112,PROKKA_02387,PROKKA_04658,PROKKA_02272,PROKKA_02880,PROKKA_01091,b3403,ECUMN_3862,UTI89_C3903
77816_lpxP,ECP_RS12255,c2915,PROKKA_02138,PROKKA_00761,PROKKA_01183,PROKKA_01962,PROKKA_02410,PROKKA_04154,PROKKA_03823,PROKKA_04526,PROKKA_02234,PROKKA_01209,PROKKA_02760,PROKKA_01186,PROKKA_01828,PROKKA_02297,b2378,ECUMN_2708,UTI89_C2710
5451_nemA_2,,,PROKKA_05161,,,,,,,,,,,,,,,,
36605_hypothetical_protein,,,,,,,,,PROKKA_01730,,,,,,,,,,
2555_Hypothetical_protein,,c2624,,,,,,,,,,,,,,,,,
87685_hypothetical_protein,ECP_RS26435,,,,,,,,,,,,,,,,,,
24498_hypothetical_protein,,,,,,PROKKA_04717,,,,,,,,,,,,,
32544_hypothetical_protein,,,,,,,,PROKKA_02785,,,,,,,,,,,
79048_ivbL,ECP_RS19690,c5498,,PROKKA_02097,,PROKKA_03510,,,,,,,,,,,b3672,ECUMN_5055,
89211_hypothetical_protein,ECP_RS25965,,,,,,,,,,,,,,,,,,
1268_Hypothetical_protein,ECP_RS05280,c1312,,,,,,,,,,,,,,,,ECUMN_1222,UTI89_C1171
78854_nikC,ECP_RS18225,c4271,PROKKA_03336,PROKKA_01878,PROKKA_02459,PROKKA_03248,PROKKA_03566,PROKKA_02933,PROKKA_02650,PROKKA_00503,PROKKA_01031,PROKKA_02475,PROKKA_04571,PROKKA_02364,PROKKA_02961,PROKKA_01002,b3478,ECUMN_3959,UTI89_C3995
22114_hypothetical_protein,,,,,,PROKKA_02193,,,,,,,,,,,,,
79429_ytcA,ECP_RS22040,c5088,PROKKA_04070,PROKKA_02551,PROKKA_03262,PROKKA_04006,PROKKA_04269,PROKKA_02193,PROKKA_01939,PROKKA_01271,PROKKA_00315,PROKKA_03198,PROKKA_03921,PROKKA_03067,PROKKA_03745,PROKKA_00209,b4622,,UTI89_C4678
94407_hypothetical_protein,,,,,,,,,,,,,,,,,,,UTI89_C5141
398_2-5-diketo-D-gluconi..,ECP_RS01855,c0417,PROKKA_04795,PROKKA_03273,PROKKA_04000,PROKKA_04741,PROKKA_00119,PROKKA_01416,PROKKA_01201,PROKKA_02074,PROKKA_04336,PROKKA_04036,PROKKA_03010,PROKKA_03836,PROKKA_04551,PROKKA_04586,,ECUMN_0339,UTI89_C0323
11071_hypothetical_protein,,,,PROKKA_00712,,,,,,,,,,,,,,,
42027_hypothetical_protein,,,,,,,,,,PROKKA_02005,,,,,PROKKA_04459,,,,
1918_Hypothetical_protein,,c1980,,,,,,,,,,,,,,,,,
22115_Acetyltransferase_Pa..,,,,,,PROKKA_02194,,,,,,,PROKKA_02993,,,,,,
77597_yeiG,ECP_RS11175,c2689,PROKKA_01923,PROKKA_00512,PROKKA_00955,PROKKA_01740,PROKKA_02201,PROKKA_04376,PROKKA_04035,PROKKA_04186,PROKKA_02444,PROKKA_00989,PROKKA_02484,PROKKA_00970,PROKKA_01617,PROKKA_02519,b2154,ECUMN_2489,UTI89_C2428
15369_hypothetical_protein,,,,,PROKKA_00596,,,,,,,,,,,,,,
65190_hypothetical_protein,,,,,,,,,,,,,,PROKKA_04674,,,,,
78242_mutH,ECP_RS14520,c3426,PROKKA_02606,PROKKA_01195,PROKKA_01694,PROKKA_02451,PROKKA_02870,PROKKA_03707,PROKKA_03352,PROKKA_05133,PROKKA_01712,PROKKA_01695,PROKKA_05463,PROKKA_01648,PROKKA_02273,PROKKA_01819,b2831,ECUMN_3158,UTI89_C3234
75861_phoA,ECP_RS02210,c0490,PROKKA_04872,PROKKA_03355,PROKKA_04068,PROKKA_04829,PROKKA_00209,PROKKA_01346,PROKKA_01134,PROKKA_02140,PROKKA_04274,PROKKA_04100,PROKKA_00097,PROKKA_03902,PROKKA_04616,PROKKA_04516,b0383,ECUMN_0421,UTI89_C0402
69575_fhuF_2,,,,,,,,,,,,,,,PROKKA_04133,,,,
77831_nupC,ECP_RS12330,c2932,PROKKA_02152,PROKKA_00775,PROKKA_01197,PROKKA_01981,PROKKA_02424,PROKKA_04140,PROKKA_03808,PROKKA_04540,PROKKA_02220,PROKKA_01223,PROKKA_02776,PROKKA_01200,PROKKA_01842,PROKKA_02282,b2393,ECUMN_2722,UTI89_C2725
20966_sotB_2,,,,,,PROKKA_00993,,,,,,,PROKKA_01623,,,,,,
55627_hypothetical_protein,,,,,,,,,,,,,PROKKA_03624,,,,,,
