,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
c0806|sucD,PROKKA_00213,PROKKA_03686,PROKKA_04410,PROKKA_05208,PROKKA_00616,PROKKA_01028,PROKKA_00805,PROKKA_02472,PROKKA_03957,PROKKA_04408,PROKKA_00462,PROKKA_04219,PROKKA_04926,PROKKA_04193
c1477|potA,PROKKA_00625,PROKKA_04094,PROKKA_04911,PROKKA_00515,PROKKA_01151,PROKKA_00436,PROKKA_00413,PROKKA_02932,PROKKA_03570,PROKKA_04860,PROKKA_01111,PROKKA_04852,PROKKA_00487,PROKKA_03693
c0168|yadL,,,,,,PROKKA_01703,PROKKA_01412,PROKKA_01861,,PROKKA_03812,,PROKKA_03560,PROKKA_04321,PROKKA_04753
c4239|ugpC,PROKKA_03287,PROKKA_01849,PROKKA_02427,PROKKA_03215,PROKKA_03535,PROKKA_02961,PROKKA_02678,PROKKA_00472,PROKKA_01067,PROKKA_02445,PROKKA_04601,PROKKA_02328,PROKKA_02933,PROKKA_01030
c0185|fhuA,PROKKA_04585,PROKKA_03080,PROKKA_03836,PROKKA_04519,PROKKA_04767,PROKKA_01690,PROKKA_01398,PROKKA_01874,PROKKA_04563,PROKKA_03825,,PROKKA_03574,PROKKA_04334,PROKKA_04737
c1244|focG,,,,,,PROKKA_00650,,,,,,,PROKKA_03891,
c4272|nikD,PROKKA_03337,PROKKA_01879,PROKKA_02460,PROKKA_03249,PROKKA_03567,PROKKA_02931,PROKKA_02647,PROKKA_00504,PROKKA_01029,PROKKA_02476,PROKKA_04569,PROKKA_02365,PROKKA_02962,PROKKA_01000
c0188|fhuB,PROKKA_04587,PROKKA_03082,PROKKA_03838,PROKKA_04522,PROKKA_04769,PROKKA_01687,PROKKA_01395,PROKKA_01876,PROKKA_04560,PROKKA_03827,PROKKA_03249,PROKKA_03576,PROKKA_04336,PROKKA_04734
c2848|hisP,PROKKA_02079,PROKKA_00650,PROKKA_01112,PROKKA_01894,PROKKA_02347,PROKKA_04220,PROKKA_03881,PROKKA_04411,PROKKA_02290,PROKKA_01144,PROKKA_02686,PROKKA_01126,PROKKA_01772,PROKKA_02359
c5174|,,,,,,,,,,PROKKA_03269,PROKKA_04248,,,
c2956|cysA,PROKKA_02177,PROKKA_00803,PROKKA_01223,PROKKA_02006,PROKKA_02452,PROKKA_04111,PROKKA_03777,PROKKA_04569,PROKKA_02191,PROKKA_01251,PROKKA_02807,PROKKA_01228,PROKKA_01870,PROKKA_02253
c1349|flgI,PROKKA_00572,PROKKA_04047,PROKKA_04864,PROKKA_00426,PROKKA_01046,PROKKA_00553,PROKKA_00463,PROKKA_02815,PROKKA_03617,PROKKA_04746,PROKKA_01055,PROKKA_04734,PROKKA_00440,PROKKA_03743
c2881|yfcR,,,,,,PROKKA_04188,PROKKA_03851,PROKKA_04492,,PROKKA_01173,,PROKKA_01154,PROKKA_01800,PROKKA_02327
